project,pull_number,pull_type,id,text,classification,indicator
kafka,4049,comment,337747023,@hachikuji  Is this the expected result?,non_debt,-
phoenix,52,review,26907122,"FYI, no need for commit after DDL statements.",non_debt,-
spark,15806,review,86991593,"If I correctly interpret [this comment](https://github.com/apache/spark/blob/master/sql/core/src/main/scala/org/apache/spark/sql/streaming/StreamingQueryManager.scala#L181-L183), an exception will be thrown when `recoverFromCheckpointLocation` == `false` and `fs.exists(checkpointPath)` == `true` are satisfied.
Is [the comment](https://github.com/apache/spark/blob/master/sql/core/src/main/scala/org/apache/spark/sql/streaming/StreamingQueryManager.scala#L181-L183) wrong if this change is valid? (Note: since I made mistake, I have just update this comment)",non_debt,-
spark,26303,comment,548469185,retest this please,non_debt,-
spark,19140,description,0,"I observed this while running a oozie job trying to connect to hbase via spark.
It look like the creds are not being passed in thehttps://github.com/apache/spark/blob/branch-2.2/resource-managers/yarn/src/main/scala/org/apache/spark/deploy/yarn/security/HadoopFSCredentialProvider.scala#L53 for 2.2 release.
More Info as to why it fails on secure grid:
Oozie client gets the necessary tokens the application needs before launching. It passes those tokens along to the oozie launcher job (MR job) which will then actually call the Spark client to launch the spark app and pass the tokens along.
The oozie launcher job cannot get anymore tokens because all it has is tokens ( you can't get tokens with tokens, you need tgt or keytab).
The error here is because the launcher job runs the Spark Client to submit the spark job but the spark client doesn't see that it already has the hdfs tokens so it tries to get more, which ends with the exception.
There was a change with SPARK-19021 to generalize the hdfs credentials provider that changed it so we don't pass the existing credentials into the call to get tokens so it doesn't realize it already has the necessary tokens.
https://issues.apache.org/jira/browse/SPARK-21890
Modified to pass creds to get delegation tokens",non_debt,-
arrow,8343,comment,704824694,"Yes, they are.",non_debt,-
zookeeper,224,comment,353191810,"@hanm thanks for this! I pulled the code into a specialized branch on which I hope to land all of our jenkins related tooling:
https://github.com/apache/zookeeper/tree/jenkins-tools
I also changed the script around a bit to use out testReport from the jobs to identify failed tests. If folks have suggestions they can now use this to submit PRs in a similar way as the rest of our codebase
ps. I've also updated the jenkins job to reflect: 
https://builds.apache.org/view/S-Z/view/ZooKeeper/job/ZooKeeper-Find-Flaky-Tests/",non_debt,-
trafficserver,2772,description,0,356066-2772 description-0,non_debt,-
samza,843,review,243703884,Here's one organization that comes to mind:   ,non_debt,-
geode,3228,summary,0,GEODE-6365: Add server group support for JDBC List Mapping and Destroy Mapping Commands,non_debt,-
madlib,142,comment,310788886,"DT output seems correct, it seems RT randomness was the cause. LGTM +1",non_debt,-
geode,2907,summary,0,GEODE-6067: add list data-source gfsh command,non_debt,-
beam,11162,review,395216164,"If its unbounded, a runner will never be able to execute it without expansion which requires the runner to at least inspect whether its capable of doing it.",non_debt,-
nifi,4767,review,561227339,Perhaps renaming this variable to something like `DEFAULT_STORE_TYPE` would clarify the reason for declaring it here as opposed to just using the enum value where necessary.,code_debt,low_quality_code
beam,4266,summary,0,[BEAM-3326] Add a BundleProcessor to SdkHarnessClient,non_debt,-
pulsar,43,review,82681951,"actually, at this point we haven't persisted the message so, we don't have message-id so, we are not logging message-id.",non_debt,-
bookkeeper,1907,comment,456220683,rebuild java11,non_debt,-
flink,8322,review,292929426,`tolerableCpFailureNumber <= UNLIMITED_TOLERABLE_FAILURE_NUMBER` always evaluates to `true` and can be removed.,non_debt,-
flink,966,comment,126706999,Ah yes. I'll update them in a while. There's actually some problem with the unit test I've written too. Travis fails sporadically.,test_debt,flaky_test
trafficserver,3840,comment,397724591,Do you know how do we include the yaml library inside lib/ts? @randall @bryancall,non_debt,-
skywalking,4987,review,450269014,Config should only be changed through the initialization stage. Nothing more.,non_debt,-
kafka,2501,comment,277423574,ping @junrao,non_debt,-
camel-quarkus,225,description,0,193065376-225 description-0,non_debt,-
arrow,7030,review,416409859,Done. Now it is changed to iterate ArrowRecordBatch rather than VectorSchemaRoot.,non_debt,-
carbondata,2555,comment,408309734,retest sdv please,non_debt,-
spark,14537,comment,265352177,The schema inferring is replaced with metastore schema completely in #14690. I think we can close this now? cc @cloud-fan @liancheng,non_debt,-
spark,15231,description,0,"`write.df`/`read.df` API require path which is not actually always necessary in Spark. Currently, it only affects the datasources implementing `CreatableRelationProvider`. Currently, Spark currently does not have internal data sources implementing this but it'd affect other external datasources.
In addition we'd be able to use this way in Spark's JDBC datasource after https://github.com/apache/spark/pull/12601 is merged.
**Before**
- `read.df`
- `write.df`
**After**
- `read.df`
- `write.df`
Unit tests in `test_sparkSQL.R`",non_debt,-
tvm,5151,summary,0,[Doc] TVM release process,non_debt,-
ignite,6392,summary,0,IGNITE-11654: [ML] Memory leak in KNNClassificationModel,design_debt,non-optimal_design
avro,158,comment,426640874,@johnsgill3 @walshb -- any progress here?,non_debt,-
brooklyn-server,915,description,0,47246081-915 description-0,non_debt,-
zeppelin,3186,description,0,"Maven build fails due to invalid file name character, this PR fix it by renaming the note file name.
[Bug Fix ]
* https://issues.apache.org/jira/browse/ZEPPELIN-3788
* CI pass",non_debt,-
spark,15146,summary,0,[SPARK-17590][SQL] Analyze CTE definitions at once and allow CTE subquery to define CTE,non_debt,-
incubator-mxnet,19772,comment,786476224,"As part of this PR, the docker push target has been moved to a public ECR repository.",non_debt,-
hbase,2077,review,458520038,"Thanks @wchevreuil for reviewing.
[ReplicationSinkManager.chooseSinks](https://github.com/apache/hbase/blob/master/hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/ReplicationSinkManager.java#L151) will be called to re-fetch the sinks when HBaseInterClusterReplicationEndpoint.replicate [catches ConnectException or UnknownHostException](https://github.com/apache/hbase/blob/master/hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/HBaseInterClusterReplicationEndpoint.java#L563), It's same as before.
And I've added a config ""hbase.replication.fetch.servers.usezk"" to optionally still use ZK impl.",non_debt,-
tvm,953,review,171908616,"Because we already have exception handling, this can be done from front end",non_debt,-
carbondata,2030,comment,370892543,"Build Failed  with Spark 2.1.0, Please check CI http://136.243.101.176:8080/job/ApacheCarbonPRBuilder1/4106/",non_debt,-
spark,15851,comment,260038511,Thanks for testing and fixing this. A couple of minor comments.,non_debt,-
flink,507,summary,0,Add the class member variables with 'this',non_debt,-
spark,22056,description,0,"When a `SparkSession` is stopped, `SQLConf.get` should use the fallback conf to avoid weird issues like
a new test suite",non_debt,-
hbase,1482,review,416140357,What does this function do? Favor SSD? Needs comment.,documentation_debt,low_quality_documentation
airflow,5420,summary,0,[AIRFLOW-4797] Fix zombie detection,non_debt,-
trafficserver,2525,comment,329823741,Re-opening PR after some manipulations around local git branches,non_debt,-
flink,1588,comment,180753150,"I didn't test this myself, but this diff could be sufficient for testing your change:",non_debt,-
spark,326,comment,39626508,Merged,non_debt,-
rocketmq,1393,description,0,"fixed ""error=Algorithm HmacSHA1 not available"" when use ACL on windows.",non_debt,-
iceberg,1145,review,465458831,"Not the same thread, but:
Before invoking them, the caller will take a same lock.",non_debt,-
spark,21405,review,191372561,Added test for it.,non_debt,-
iceberg,416,review,317822579,"This actually needs to pass the current metadata location to `CustomService`. Otherwise, `CustomService` can't guarantee that the location update is an atomic swap, and the atomic swap is required for consistency. Otherwise, two processes could each start a change, validate that metadata hasn't changed and both call this update at the same time. The second one would win because the update doesn't know to reject it because it isn't based on the other process's changes.",non_debt,-
spark,24807,comment,500879466,"I think the SparkSession.close() behavior is on purpose, and that's a coherent behavior (i.e. just don't shut anything down until you're done, and then everything shuts down). What's not consistent with that is maintaining some state in the session that can't be cleared. 
I think the ways forward are probably:
- A new lifecycle method like `clear()`? more user burden but at least provides _some_ means of doing cleanup without changing `close()`
- Figure out how to automatically dispose of those resources or not hold them
- Just change the behavior of session's `close()` to not shut down the context. Behavior change, yes, but perhaps less surprising than anything.
Eh, do people like @cloud-fan or @gatorsmile or @HyukjinKwon or @dongjoon-hyun have thoughts on this? I feel like reference counting is going to end in tears here eventually, but, it's not crazy",design_debt,non-optimal_design
spark,24041,comment,471500788,"Yea, very nice PR description.",non_debt,-
trafficcontrol,3380,review,264532031,done,non_debt,-
skywalking,1256,comment,391530381,I had fix this. maybe you can try,non_debt,-
incubator-brooklyn,606,comment,94850687,"[incubator-brooklyn-pull-requests #1062](https://builds.apache.org/job/incubator-brooklyn-pull-requests/1062/) SUCCESS
This pull request looks good",non_debt,-
kafka,3219,summary,0,"KAFKA-5374. AdminClient gets ""server returned information about unkno…",non_debt,-
spark,15397,comment,252392495,"How is this going to work with assign?  It seems like it's just avoiding the problem, not fixing it.",non_debt,-
iceberg,2379,review,609298267,"I think we will need to discuss how to pack files and whether we need to look at the min/max stats on the sort key, for example. Does not have to be done now, though.",non_debt,-
beam,4071,description,0,"Also add (optional) access to the contexts on serializing and
deserializing pipelines.
---",non_debt,-
kafka,6596,review,276504405,Similar cleanup https://github.com/apache/kafka/pull/6598,non_debt,-
spark,29982,comment,709978338,"Seems the bracketedCommentLevel could not handle this case:
WIP",non_debt,-
iceberg,1748,review,521566746,"I got this working when I tested 0.10.0-rc4. In Hive, I had to set `iceberg.mr.catalog=hive` so that the correct catalog was used. Unfortunately, that broke the Hadoop table.
I think we might want to add support for Hadoop tables in our catalogs using an identifier that contains a path to fix this.",non_debt,-
spark,288,review,11231217,"There is a default one for each actor, yes -- from its actorSystem.",non_debt,-
spark,19208,review,149225714,"Although we're making this public, let's not make all of its APIs public.  Can you please make the constructor private and make this class final?",non_debt,-
parquet-mr,808,comment,672774756,"@shangxinli,
If we will agree on the extending of the schema with metadata is a good idea and as you said the serialization/deserialization is also required we need to change the format first. The schema objects in parquet-mr are only exist in the parquet-mr runtime. To have them serialized we need to convert this object structure to the thrift object structure defined in the format. If we don't have the new metatdata fields in the format we cannot serialize/deserialize them. So it is a much bigger topic. Also, I'd like to see this feature separated from the encryption as it would be general approach for storing metadata in the schema. Meanwhile, I am not convinced that we need to have such extension.
About the namespace prefix etc. I don't agree this is not user friendly. That's why I've suggested to implement a helper API so the user doesn't need to deal with the conf keys (and values) directly. 
@ggershinsky,
I don't agree we cannot have a meeting about this topic in terms of transparency. What we have to do is to document here about what we have discussed and what are the conclusions. Meanwhile, I am not sure if a meeting would help but I am happy to participate if anyone thinks otherwise.
Also, if we think we are getting stuck with this issue I would suggest involving other members of the community. Maybe draw their attention on the dev list about this PR or bring up the topic on the next parquet sync.",design_debt,non-optimal_design
tvm,7404,comment,776327280,Thanks @kevinthesun,non_debt,-
couchdb,2426,description,0,"Design doc writes could fail on the target when replicating if with non-admin
credentials. Typically the replicator will skip over them and bump the
`doc_write_failures` counter. However, that relies on the POST request
returning a `200 OK` response. If the authentication scheme is implemented such
that the whole request fails if some docs don't have enough permission to be
written, then the replication job ends up crashing with an ugly exception and
gets stuck retrying forever. In order to accomodate that scanario write _design
docs in their separate requests just like we write attachments.
Fixes: #2415",code_debt,low_quality_code
beam,11554,comment,628786151,"Before merging, please share a link to the archived copy of the old website.",non_debt,-
beam,4910,review,175947778,At this pointm it may be worth wrapping the getXOrThrow calls to actually return a legible error message since the generated code does not print the input ids.,code_debt,low_quality_code
lucene-solr,2245,review,564552680,"YW @iverase.
Right, that case should write a whole new segment, using the latest Codec, holding the just indexed document with vector field.",non_debt,-
spark,23982,review,263647807,nit: `left_anti`,code_debt,low_quality_code
superset,5800,comment,454525415,@mistercrunch almost there! Can I help?,non_debt,-
spark,22288,comment,425489570,retest this please,non_debt,-
spark,19432,summary,0,[SPARK-22203][SQL]Add job description for file listing Spark jobs,non_debt,-
beam,6554,comment,426507664,+1,non_debt,-
hadoop,1263,comment,523038215,":broken_heart: **-1 overall**
This message was automatically generated.",non_debt,-
beam,6093,comment,409713790,R: @bsidhom @ryan-williams @tweise,non_debt,-
spark,6003,comment,100132904,Merged build finished. Test FAILed.,non_debt,-
spark,22820,comment,432872093,"@erikerlandson @skonto @liyinan926 for review
Do you see additional places where we would want to leverage the newer version for optimality?",non_debt,-
beam,8026,summary,0,[BEAM-6726] explicitly specify signing key,non_debt,-
carbondata,1476,comment,343572149,"Build Success with Spark 2.1.0, Please check CI http://136.243.101.176:8080/job/ApacheCarbonPRBuilder1/988/",non_debt,-
lucene-solr,2229,review,562524364,"Would it be acceptable to reformat the code when such a demand appears, or after I'm finished with these improvements? These ""some people"" might never need to look into Hunspell code.",code_debt,low_quality_code
spark,14339,description,0,"It seems this is a regression assuming from https://issues.apache.org/jira/browse/SPARK-16698.
Field name having dots throws an exception. For example the codes below:
throws an exception as below:
This problem was introduced in https://github.com/apache/spark/commit/17eec0a71ba8713c559d641e3f43a1be726b037c#diff-27c76f96a7b2733ecfd6f46a1716e153R121
When extracting the data columns, it does not count that it can contain dots in field names. Actually, it seems the fields name are not expected as quoted. So, It does not have to consider whether this is wrapped with quotes because the actual schema (inferred or user-given schema) would not have the quotes for fields. 
For example, this throws an exception. (**Loading JSON from RDD is fine**)
as below:
Unit tests in `FileSourceStrategySuite`.",non_debt,-
ignite,8207,review,485543038,Should we consider making this fields `public` too?,non_debt,-
calcite,1714,comment,570713589,"LGTM thanks. 
It could be better if you can have a rebase locally and solve conflicts so people can easy merge your PR.",non_debt,-
beam,1889,comment,276743422,"R: @chamikaramj 
Re-opening https://github.com/apache/beam/pull/1848 as a new PR.
Added a unit test and removed the change in `wordcount.py`. Adding `WordCountOptions` work when `wordcount` is run only by itself but fails when running with `tox`. All tests after the wordcount test start requiring the `output` flag as defined in the wordcount options. This happens with or without the current change to the `pipeline_options`. We need to fix that later.",non_debt,-
activemq-artemis,2106,comment,391761041,@jbertram although I can see an issue by inspecting the code. not just for AMQP  but noConsumers is only increased.. if you open a consumer... close it.. and open it again... maxConsumers is ignored.,non_debt,-
arrow,2808,summary,0,ARROW-3582: [CI] fix incantation for C++/Java detection tool,non_debt,-
spark,6759,review,32197414,"Yes, we can use that dataset to verify.",non_debt,-
druid,6349,review,224141572,"if these are host and port entries, can they use `HostAndPort` objects?",non_debt,-
flink,12412,review,433847667,Shouldn't this be `public` and not `package-private`? (The same for the other methods),non_debt,-
airflow,2869,review,156870749,"Ah, I didn't realize that, let me update it. Thanks!",non_debt,-
flink,9748,review,328404835,"Add comment for this in this commit otherwise, other people would be confused.",documentation_debt,low_quality_documentation
nifi-minifi-cpp,62,review,104827822,"sure. we can remove that. For my last test, i found test is failed and have trouble to find the log for the test that just ran.",non_debt,-
zeppelin,208,review,58003498,"Makes perfect sense, thank you for explanation. 
I believe that is the case where changed one is distributed under the same licence, as per [#4 in licence doc](http://www.apache.org/legal/src-headers.html#3party).",non_debt,-
nifi,200,comment,180874341,"DAVID SMITH  on dev@nifi.apache.org replies:
Hi Guys
st.=20
www.avast.com  |
As you may remember I have developed some processors that publish/subscribe=
 to AMQP brokers, but I was having problems writing Junit tests for these p=
rocessors.=C2=A0I was interested to see that you have been working on NiFi =
Pull Request 865.=C2=A0I have looked at your code for these processors, we =
are both using different property descriptors to allow messages to be publi=
shed and pulled. I also noticed that you are using RabbitMQ libraries to co=
nnect to the broker, whereas I connect to the AMQP broker using the QPID JM=
S libraries. I can still see a use for my processors and I would still be i=
nterested getting my processors uploaded to run alongside yours in a future=
 release of NiFi.I have tidied up my code and pushed it back to github:
https://github.com/helicopterman22/nifi_amqp_processors.git
I would appreciate your feedback=C2=A0Dave
=20
=20
 Github user asfgit closed the pull request at:
=C2=A0 =C2=A0 https://github.com/apache/nifi/pull/200",non_debt,-
spark,23291,review,247307662,"Why some benchmarks use large num rows, others use small num rows?",non_debt,-
camel,2151,comment,352353675,"Yes thanks @adriancole 
And thanks for the heads-up on that meeting. I dont know my calendar at that time in 2018.",non_debt,-
superset,8867,review,360617020,"It's not super clear here what this does or why you'd want to use this config element. I had to read a bit of code to understand it.
Then add a proper example with type annotation",documentation_debt,low_quality_documentation
lucene-solr,1847,summary,0,LUCENE-9514: Include TermVectorsWriter in DWPT accounting,non_debt,-
tvm,4144,summary,0,Fix typo,documentation_debt,low_quality_documentation
reef,261,review,34074950,done both changes,non_debt,-
beam,2536,comment,294071905,"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/9519/<h2>Build result: FAILURE</span></h2>[...truncated 2.31 MB...]	at java.lang.Thread.run(Thread.java:745)Caused by: org.apache.maven.plugin.MojoExecutionException: Command execution failed.	at org.codehaus.mojo.exec.ExecMojo.execute(ExecMojo.java:302)	at org.apache.maven.plugin.DefaultBuildPluginManager.executeMojo(DefaultBuildPluginManager.java:134)	at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:208)	... 31 moreCaused by: org.apache.commons.exec.ExecuteException: Process exited with an error: 1 (Exit value: 1)	at org.apache.commons.exec.DefaultExecutor.executeInternal(DefaultExecutor.java:404)	at org.apache.commons.exec.DefaultExecutor.execute(DefaultExecutor.java:166)	at org.codehaus.mojo.exec.ExecMojo.executeCommandLine(ExecMojo.java:764)	at org.codehaus.mojo.exec.ExecMojo.executeCommandLine(ExecMojo.java:711)	at org.codehaus.mojo.exec.ExecMojo.execute(ExecMojo.java:289)	... 33 more2017-04-14T02:39:05.915 [ERROR] 2017-04-14T02:39:05.915 [ERROR] Re-run Maven using the -X switch to enable full debug logging.2017-04-14T02:39:05.915 [ERROR] 2017-04-14T02:39:05.915 [ERROR] For more information about the errors and possible solutions, please read the following articles:2017-04-14T02:39:05.915 [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException2017-04-14T02:39:05.915 [ERROR] 2017-04-14T02:39:05.915 [ERROR] After correcting the problems, you can resume the build with the command2017-04-14T02:39:05.915 [ERROR]   mvn <goals> -rf :beam-sdks-pythonchannel stoppedSetting status of 82ba164b6f0ca69abbc707163232fa5b5791dc9a to FAILURE with url https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/9519/ and message: 'Build finished. 'Using context: Jenkins: Maven clean install
--none--",non_debt,-
bigtop,81,summary,0,Bigtop 2312,non_debt,-
spark,23677,review,298342839,"I couldn't figure out what this comment meant, till I realized you were copying it from `addPendingTask`, though I coudln't figure out what it meant there either, till I looked in history and realized it was long obsolete -- added [here](https://github.com/apache/spark/commit/5e91495f5c718c837b5a5af2268f6faad00d357f), then removed [here](https://github.com/apache/spark/commit/3535b91ddc9fd05b613a121e09263b0f378bd5fa) (but the comment was left).  Can you delete both comments?  (unless you can see a way it still has some relevance ...)",non_debt,-
arrow,8177,review,488076230,You're `using` them but still using the full qualified names below :-),non_debt,-
kafka,4880,review,182225768,"Not possible if we want to share code. We call `decodeTasks` that does not know if it's decoding prevTasks or standbyTasks -- alternative, we can do two methods. Let me know what you think",non_debt,-
kafka,3131,comment,312119156,"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5798/
Test PASSed (JDK 8 and Scala 2.12).",non_debt,-
hadoop,1881,review,388858948,nit: this line is long enough its time to split,code_debt,low_quality_code
flink,12758,comment,649547883,Thanks for your contribution @houmaozheng . Looks good to me.,non_debt,-
cloudstack,2721,review,201307689,"    - TESTS=""smoke/test_accounts
             smoke/test_affinity_groups
             smoke/test_affinity_groups_projects
             smoke/test_deploy_vgpu_enabled_vm
             smoke/test_deploy_vm_iso
             smoke/test_deploy_vm_root_resize
             smoke/test_deploy_vm_with_userdata
             smoke/test_deploy_vms_with_varied_deploymentplanners
             **smoke/test_diagnostics**
             smoke/test_disk_offerings
             smoke/test_dynamicroles
             smoke/test_global_settings
             smoke/test_guest_vlan_range""",non_debt,-
beam,329,description,0,"quickly and easily:
  `[BEAM-<Jira issue #>] Description of pull request`
     Travis-CI on your fork and ensure the whole test matrix passes).
     number, if there is one.
     [Individual Contributor License Agreement](https://www.apache.org/licenses/icla.txt).
---",non_debt,-
flink,5367,review,165039357,I think this method is not really necessary. We already have logic for accessing composite types (see `visitFieldAccess()`). Maybe we just have to make the methods there a bit more generic.,code_debt,complex_code
netbeans,449,description,0,Added mockito library.,non_debt,-
hudi,1149,comment,669295110,"@nsivabalan What is the reason to change the name from `UserDefinedBulkInsertPartitioner` to `BulkInsertPartitioner`. I see that you added a new method to the interface, which is fine, but want to understand the reason for the name change",non_debt,-
flink,8449,comment,492630818,"Thanks a lot for your contribution to the Apache Flink project. I'm the @flinkbot. I help the community
to review your pull request. We will use this comment to track the progress of the review.
* ❓ 1. The [description] looks good.
* ❓ 2. There is [consensus] that the contribution should go into to Flink.
* ❓ 3. Needs [attention] from.
* ❓ 4. The change fits into the overall [architecture].
* ❓ 5. Overall code [quality] is good.
 The Bot is tracking the review progress through labels. Labels are applied according to the order of the review items. For consensus, approval by a Flink committer of PMC member is required <summary>Bot commands</summary>
  The @flinkbot bot supports the following commands:
 - `@flinkbot approve description` to approve one or more aspects (aspects: `description`, `consensus`, `architecture` and `quality`)
 - `@flinkbot approve all` to approve all aspects
 - `@flinkbot approve-until architecture` to approve everything until `architecture`
 - `@flinkbot attention @username1 [@username2 ..]` to require somebody's attention
 - `@flinkbot disapprove architecture` to remove an approval you gave earlier",non_debt,-
trafodion,309,comment,180436567,"jenkins, add user",non_debt,-
kafka,4855,comment,383759105,rebased,non_debt,-
druid,10070,review,445155089,minor nit:mark return type as nullable,code_debt,low_quality_code
cloudstack,3600,comment,580152807,"than, can you approve please @andrijapanicsb",non_debt,-
beam,7174,review,238478822,"if the intention is to use it only for batch, you would need to add {..}",non_debt,-
trafodion,294,comment,178076645,Looks good to me. Thanks for fixing all those typos.,documentation_debt,low_quality_documentation
ozone,2000,review,600354804,Removed it,non_debt,-
calcite,552,review,275722923,"Agree, this is one of the key changes in this PR.",non_debt,-
spark,10734,review,49557801,does `prettyString` work for it?,non_debt,-
trafficserver,833,comment,237111945,Looks good. Please squash commits.,non_debt,-
arrow,4613,review,296764162,Needs to be restored,non_debt,-
spark,23272,description,0,"In `BytesToBytesMap.MapIterator.advanceToNextPage`, We will first lock this `MapIterator` and then `TaskMemoryManager` when going to free a memory page by calling `freePage`. At the same time, it is possibly that another memory consumer first locks `TaskMemoryManager` and then this `MapIterator` when it acquires memory and causes spilling on this `MapIterator`.
So it ends with the `MapIterator` object holds lock to the `MapIterator` object and waits for lock on `TaskMemoryManager`, and the other consumer holds lock to `TaskMemoryManager` and waits for lock on the `MapIterator` object.
To avoid deadlock here, this patch proposes to keep reference to the page to free and free it after releasing the lock of `MapIterator`.
Added test and manually test by running the test 100 times to make sure there is no deadlock.",non_debt,-
trafficcontrol,1480,comment,366315191,"@elsloo Fixed up the JSON.org dependency.
Also I think at this point this can go into 2.3, so updating the milestone",non_debt,-
incubator-mxnet,5336,description,0,"follows: https://github.com/dmlc/mxnet/blob/master/python/mxnet/module/sequential_module.py
training log:
and load checkpoint:",non_debt,-
druid,5278,review,164339035,done.,non_debt,-
spark,6157,comment,102176652,Merged build started.,non_debt,-
tvm,1403,review,201886571,"this warning seems can be a bit frequent, instead of this, do
Do CHECK_GE(sorted_order_.size(), threads_.size());",code_debt,low_quality_code
kafka,7799,review,364476808,"We only needed it here because the we were trying to ensure we had a chance to send the Abort before going into poll. After thinking about it, it seemed a little simpler to move the `hasAbortableError` check to `maybeSendAndPollTransactionalRequest`. Then we no longer need this change.",code_debt,low_quality_code
netbeans-website,473,review,430013474,Mmm.... infra will complain if we use jenkins builds as an update center. Also note this is extremely slow...,code_debt,slow_algorithm
geode-native,634,review,471802267,Why do we use a pre-baked key and certificates here? I though all the SSL tests generated certs on the fly but maybe I am wrong. In the past this has caused issues with hostname validation.,non_debt,-
flink,854,comment,114331577,"@StephanEwen @fhueske - apologies, I forgot to call collect. 
A dumb question - why do we need to sort the records before combining them? Should I just call collect on the oversized record or still pass it to the combiner? What do combiners do(or what are they suppose to do in general)?",non_debt,-
kafka,2314,comment,270717795,"@dguy When I was adding `LockException` in another PR, I was explicitly requested to add more ctors even if I did not use them (see https://github.com/apache/kafka/pull/2233/files#r92231489)",non_debt,-
incubator-mxnet,9810,review,170436506,Question*,non_debt,-
spark,16810,comment,278314048,Merged to master. @JoshRosen you can make any other Jenkins changes as needed,non_debt,-
kafka,3188,review,137854355,"There could be multiple joins within each reporting period, so this should be a `+=`, right?",non_debt,-
apisix,3894,review,600109033,Is it the password?,non_debt,-
netbeans,968,comment,430955215,"@geertjanw The XSDs/DTDs are used to generate code and my interpretation of the reply from apache legal is, that the license transcends to the generated code. So for weblogic we would distribute unlicensed code (i.e. we have no right to distribute) and for jboss/wildfly we would distribute LGPL code, which is against the ASF rules.
Getting the XSDs/DTDs at runtime would be perfectly doable, but the modules would need to be reworked to no rely on code generated at build-time.
@vikasprabhakar the DTD files are present here:
https://www.jboss.org/j2ee/dtd/
The files are missing an explicit license and as such I would assume they are covered by the projects LGPL license. That at least is reflected in some of the XSDs I saw. Asking redhat would most probably reveal the same. That still leaves us with the ""wrong"" license.",documentation_debt,low_quality_documentation
kafka,3269,comment,307775797,"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5149/
Test FAILed (JDK 8 and Scala 2.12).",non_debt,-
hawq,90,review,44373709,"logic here is sleep 1s and reconnect when connect failed?
Is there a need to add max_retry_num?",non_debt,-
tvm,5044,summary,0,Set split node's range to minimum of ext and split factor or split np…,non_debt,-
druid,1862,summary,0,Add timeout to shutdown request to middle manager for indexing service,non_debt,-
spark,19468,review,148569836,Why do we need to fetch it? Seems we can always use `executorMemoryMiB.toString` instead.,non_debt,-
hudi,1114,review,360699643,Move to checkWriteStatus's javadoc.,non_debt,-
skywalking,5685,comment,711190648,"@wu-sheng  thx for check the structure this time.  If this version looks good, I will modify the doc and add the unit test later.",documentation_debt,outdated_documentation
airflow,1270,description,0,pypi can use categories for better description and version number was out of sync,code_debt,low_quality_code
kafka,4805,review,183132149,"nit: `isolate ... form other client configs` -> 
Ditto below for other two.",non_debt,-
kafka,2525,summary,0,KAFKA-4484: Set more conservative default values on RocksDB for memory usage,non_debt,-
incubator-weex,1794,description,0,78186814-1794 description-0,non_debt,-
incubator-pinot,2304,review,160811762,Nice catch. I meant `===` here. Thanks.,non_debt,-
carbondata,3208,review,282835607,done,non_debt,-
spark,24382,comment,517798684,"By the way, I also found another issue of the current foreach sink due to the API limitation in Data Source V2: https://issues.apache.org/jira/browse/SPARK-28605",non_debt,-
kafka,2675,comment,285844277,"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/2127/
Test PASSed (JDK 8 and Scala 2.11).",non_debt,-
spark,8823,comment,141555821,Merging to master and branch 1.5. Thanks @yjshen,non_debt,-
activemq-artemis,2626,comment,484288172,"We could make it abstract. And add Prometheus as a one of the implementations. It would be nice to have something out of the box.  Enabled during server creation. 
Using the argument of external repo could be used against everything.  Web server for instance. 
I don’t really think it applies the same thing. 
We should move the discussion to the dev list.  It’s bexomong out of the scope of code review now.",non_debt,-
arrow,6804,comment,607813046,This will be very useful! Once this lands I'll see about wiring this up to the gRPC async APIs.,non_debt,-
beam,535,comment,228586262,"LGTM, merged.",non_debt,-
spark,28442,comment,625187631,Shell we backport this to 3.0 too? SPARK-30541 was merged to master so the flakiness should be there in branch-3.0 too.,non_debt,-
arrow,2979,comment,440724090,+1,non_debt,-
activemq-artemis,2312,comment,429021094,"@michaelandrepearce ok all fix now, let me know if you want me to change anything else!",non_debt,-
zookeeper,924,review,299043313,Unused default constructor.,code_debt,dead_code
iceberg,2048,review,555974043,"I'm not sure about having this be a static method since it would end up constructing an instance of the object anyways, but I don't have strong feelings here. I lean towards giving it a name like `validateReferencedColumns` personally.",non_debt,-
beam,12444,comment,669140081,Run Whitespace PreCommit,non_debt,-
rocketmq,610,comment,448893600,@RongtongJin Splitting the large PR into many small ones maybe a good choice.,non_debt,-
