project,sha,text,classification,indicator
ambari,83924e09bcaa06b4e7aca855e8f8e1cae0d2edc8,AMBARI-7824. Slider View: Unable to create app when cluster is secured - keytab doesnt exist (srimanth),non_debt,-
cassandra,14e44db00c3c9ea6791611cfcf0cd571edf63668,merge from 1.1.0,non_debt,-
ignite,52c610656c9a8400d269c1aa1835e0dce46ba6b2,# ignite-51,non_debt,-
trafficserver,78acb3ab129449bc578dc1fc692083af1bdaa0ed,"TS-4196: Memory leak from main_thread on shutdown
This closes #467",code_debt,low_quality_code
cxf,60af4863f8949fc697f4ecd98a3f95303a56ebcb,Fixing an issue with JsonMapObject parser not parsing an array of primitive values correctly,non_debt,-
geode,b826b4b0077dc159cbcee68775cc197b025d5586,"implementation of AvailablePort.isPortAvailable for multicast
The AvailablePort utility has not had support for finding a free multicast
port since feature/GEODE-77 was merged to the develop branch.  This change-
set enables the old multicast code in AvailablePort and implements the
check & response for its datagrams in JGroupsMessenger.  The JGroups
transport method for receiving packets is overridden to look for these
datagrams and respond to them.
I also renamed AvailablePort.JGroups to AvailablePort.MULTICAST, which
describes the kind of port that's being tested a little better.",code_debt,low_quality_code
cassandra,d0d1b2cf3cd2bb2ddf66aa9fcdab5566954683ab,Fix scary message about secondaries always being created at startup,non_debt,-
couchdb,496e3b2e876b74b3da3007268271c3c667e8fbee,"Use limit of 4GB for document PUT requests, instead of the MochiWeb default of 1MB. Closes COUCHDB-37.",non_debt,-
helix,dc75f228522c930cb40db1b0a16a69b3eb77d953,"Add Abnormal States Resolver interface and configuration item. (#1028)
The Abnormal States Resolver defines a generic interface to find and recover if the partition has any abnormal current states. For example,
- double masters
- application data out of sync
The interface shall be implemented according to the requirement.
The resolver is applied in the rebalance process according to the corresponding cluster config item. For example,
""ABNORMAL_STATES_RESOLVER_MAP"" : {
 ""MASTERSLAVE"" : ""org.apache.helix.api.rebalancer.constraint.MasterSlaveAbnormalStateReslovler""
}
The default behavior without any configuration is not doing any recovery work.",non_debt,-
hadoop,99d7a452be91b3aefe9bcde9b51893ff6719742e,"HADOOP-11007. Reinstate building of ant tasks support. Contributed by
Jason Lowe.",non_debt,-
trafficserver,fa12a49f60906534c254a8d55592bb0af0f7ab55,Issue #1367: HdrHeap potential corruption,non_debt,-
hbase,520b9efc2de34b3b02ee86bad7ccb6e169788fc1,"HBASE-19363 Tests under TestCheckAndMutate are identical
Remove testCheckAndMutateUsingNewComparisonOperatorInstead",non_debt,-
superset,d33874bd3d9ffffca7f4726a29c3eb9de2a68d42,[hotfix] postgres issue when slice_id is missing,non_debt,-
spark,c446ac31d7065d227f168a7f27010bdf98ef7ad1,"Spurious commit, reverting gitignore change",non_debt,-
flink,e6c042fd0e254dd154562d63e37bace4437bc4e1,"[FLINK-17568][checkpointing] Fix the issue that task may consume input data after checkpoint barrier before checkpoint is performed for unaligned checkpoint
For unaligned checkpoint, task may consume data after the checkpoint barrier before performing checkpoint which leads to consumption of duplicated data and corruption of data stream. More specifically, when the Netty thread notifies the checkpoint barrier for the first time and enqueues a checkpointing task in the mailbox, the task thread may still in data processing loop and if it reads a new checkpoint barrier from a input channel it will not return to the mailbox and instead it will continue to read data until all data is consumed or we have a full record, meanwhile, the data after checkpoint barrier may be read and consumed which lead to inconsistency.
This commit fixes the problem by returning to mailbox each time a checkpoint barrier is processed by the task thread.",non_debt,-
groovy,f44ce37699af574035089023cfb91b6a6419b895,fixed GROOVY-5408: JavaAwareCompilationUnit should have a constructor that allows to set transformLoader,non_debt,-
cassandra,c7378a035796348ac33078ab2744a08be055413e,convert internal_insert to use more-efficient RowMutation constructor,code_debt,slow_algorithm
nutch,aa1b8c5881619381dea121c7d8a93145bf9a6821,Add support for primitive types to RPC.,non_debt,-
arrow,7c5cf924f17abd8ff272a047b31de2e560e43f95,"ARROW-11561: [Rust][DataFusion] Add Send + Sync to MemTable::load
This PR adds Send + Sync to the MemTable::load method to allow implementation of a `persist` method like Spark's Dataframe in an async function.
Closes #9448 from seddonm1/send-sync",non_debt,-
usergrid,0666e3527a59af4b2ca158567fba885498839b45,cleanup,code_debt,low_quality_code
beam,a7d111f896f5f8e14f6211d01811a618b905ec32,[BEAM-9543] fixed code style,code_debt,low_quality_code
camel,2ca4d8d7e89f8c265ff160c494451e6f2af21223,added more predicates and a helper header() method to build easier and more powerful expressions and predicates,design_debt,non-optimal_design
tinkerpop,9925aafbf2462ec35b722d088729f851b83fe8e0,Update syntax of update-current-docs.sh CTR,non_debt,-
lucene-solr,51484e138bfa0b96dac5456828c8d74f5b18944d,LUCENE-9509: Refine lucene/BUILD.md and top-level README (for newdevs) (#1835),non_debt,-
incubator-brooklyn,13e55ce0a085833f2bbaafb6fc91e2602dc92c41,ENGR-1594  Refactored 'LocationUtils' to more appropriate place,non_debt,-
lucene-solr,e910a61b4133b7df559d2be8f943fbf10e736286,LUCENE-4452: test BlockPostings when only reading a subset of prox data,non_debt,-
netbeans,d1f3611596cbe3290b0e429807cc0ae902f72f10,"Merge pull request #1008 from junichi11/netbeans-1576-vardoc-cc
[NETBEANS-1576] PHP autocompletion partially broken",non_debt,-
spark,0f45477be16254971763cbc07feac7460cffd0bd,Change indentation,code_debt,low_quality_code
infrastructure-puppet,5e2e486141cf7d40fa40283e2db86b868bfbe919,add new logging servers,non_debt,-
tomee,5fa164dac1207f3846dfc041c0a43b939b17516a,"trying to remove webapp lib scanning from known libs
TOMEE-123: Eliminate webapp lib scanning from known libs",non_debt,-
spark,dce2f8c9d74bda46f3c7a7ebe7372b04d6b17a61,"[SPARK-8654][SQL] Analysis exception when using NULL IN (...) : invalid cast
In the analysis phase , while processing the rules for IN predicate, we
compare the in-list types to the lhs expression type and generate
cast operation if necessary. In the case of NULL [NOT] IN expr1 , we end up
generating cast between in list types to NULL like cast (1 as NULL) which
is not a valid cast.
The fix is to find a common type between LHS and RHS expressions and cast
all the expression to the common type.
This patch had conflicts when merged, resolved by
Committer: Michael Armbrust <michael@databricks.com>
Closes #9036 from dilipbiswal/spark_8654_new.",non_debt,-
infrastructure-puppet,ee0d78135cb8b779fb466d7c5f215861df856f9e,"one more catch, func not var",non_debt,-
guacamole-client,a967ffa41c5ffc8c6d5142c51a1419d197bac7a3,GUACAMOLE-670: Merge changes correcting conflicting versions of SLF4J.,non_debt,-
usergrid,fb81676cb87df14bb1fa20bd1b18d70b50ecaa53,Merge branch 'master' of github.com:apigee/usergrid-stack-internal,non_debt,-
trafficcontrol,f0413d1313e405778213811dc46b29d3663475b1,"Change TM2 manager params to be multiline
Changes function definitions and calls to put each param on its own
line. These managers have a large number of parameters. This makes it
easier to read, and makes diffs better.
Fixes #2012",design_debt,non-optimal_design
fineract,73e330a58e1f1697ee8915bc25e5beb25ad913d8,"Move all SDK client tests into integrationtests (FINERACT-1209)
And run the against localhost instead of https://fineract.dev",non_debt,-
jmeter,9ce22f6a4d879b6993c75e282f20ef734145095e,"added batik jar related stuff.
peter",non_debt,-
cxf,6bb6b76edbcfd46d2334a3ec448da3dd170dab35,Cleanup stax dependencies that are no longer needed.,code_debt,dead_code
jmeter,3d18eafce227e2f2a453b665998ee4b054d4403d,Bug 52936 - JMS Publisher : Support sending of JMS Object Messages,non_debt,-
attic-apex-malhar,f80eed3161c99c717fe9b80d582015254bc0d816,Merge branch 'prop_2_item.MLHR-1011' into ip_port.MLHR-1019,non_debt,-
hbase,6b9b5dbd998bd84768634960cb79a66b56539eed,HBASE-4054 Usability improvement to HTablePool,design_debt,non-optimal_design
lucene-solr,3b5a225b7b374885592ce04ab73fae1e01942fbb,- Indentation,code_debt,low_quality_code
groovy,04acd5ed86f8fd69ac2fcddf49afbb11a547b78f,GROOVY-7476 - Fix JSON parsing error when escape character is read at the end of the buffer (closes #46),non_debt,-
hadoop,bb8ad096e785f7127a5c0de15167255d9b119578,HADOOP-16157. [Clean-up] Remove NULL check before instanceof in AzureNativeFileSystemStore,code_debt,low_quality_code
zeppelin,e98c1e4b42102a8efd2b0c3ea79773aa2363fdf7,Changing mailinglist address to apache one,non_debt,-
airflow,d2ee4be7516714eecd0c161b9b747151bd454721,[AIRFLOW-7089] Create kill method in AbstractDagFileProcessorProcess (#7765),non_debt,-
superset,52a9f2742b5003e81604da1494a452f677cbe33c,Make columns that return an exception on click unsortable. (#3417),non_debt,-
hbase,5497b3c1552d3b58b8437621b11a8ce3d055e74e,HBASE-6831. [WINDOWS] HBaseTestingUtility.expireSession() does not expire zookeeper session,non_debt,-
fineract,fd2cdefb95338f672f8d70c07e002dff0f605fc8,"Merge pull request #528 from mifoscontributer/mifosx-611
Add data validations for bulkloanreassignment",non_debt,-
lucene-solr,ded343284ee1e1028b0fa3e7dee9f8f5195dcd9b,SOLR-10373: Replace usage of #ANY in replica with a count of 0,non_debt,-
airflow,24a7072990fb232a6fe23c9eb3fdb72ba0695c96,"Fix logic for determining DagRun states
Previously, DagRuns failed if any task failed and succeeded if all
tasks succeeded or were skipped. However, because of trigger behaviors,
that’s not right — a task can fail and another task can start up with
an “on failed” trigger.
This changes the logic to consider three termination cases:
1. Failure. If any of the root tasks fail, the dagrun fails. This is
because there is no possibility of any “on failure” trigger coming off
a root task.
2. Success. If ALL of the root nodes succeed or skip, the dagrun
succeeds. This means there can be upstream failures as long as failure
triggers are respected.
3. Deadlock — A dag run is deadlocked when no action is possible.
This is determined by the presence of unfinished tasks without met
dependencies. However, care must be taken when depends_on_past=True
because individual dag runs could *look* like they are deadlocked
when they are actually just waiting for earlier runs to finish.
To solve this problem, we evaluate deadlocks in two ways. First,
across all dagruns simultaneously (to account for situations with
depends_on_past=True). Second, in each individual dagrun (but only
if there are no depends_on_past relationship).",non_debt,-
tinkerpop,71937b764bafc6e58f8d8f2cbcb9131288678f43,Correct logic in travis build to ensure that deploy is only done when commit/push to master.,non_debt,-
incubator-heron,ccb505de9e6879742c6ba88a805f89ec66d5835a,bazel_configure.py will generate a scripts/env_exec.sh exporting the environment variables for bazel genrules to use - especially needed for yaml-cpp,non_debt,-
ignite,64cad4744f73eb0efbc9e374019fad778553f34f,Merge branch 'ignite-3477-master' of https://github.com/gridgain/apache-ignite into ignite-3477-master,non_debt,-
echarts,0e1ee3f426256a176728d9f20a0f5adda44a5849,fix text rect.,non_debt,-
activemq-artemis,0e17666dedb74ae15e41a670a90ec3fbf46faa3f,This closes #1156,non_debt,-
daffodil,1aae7cf068e25b69b75fab955a139ce3fad15738,Merge branch '1.0.0' into 1.1.0,non_debt,-
incubator-pinot,c48cec3a60b8c9526ee338592ecc9a9cc7c913a6,Adding feedback status and comments to anomaly details (#1584),non_debt,-
accumulo,93f741e7efe761c980eda74b7fb679bd015838f3,ACCUMULO-1595 remove mlock config entry,non_debt,-
thrift,b661e83fab3bfa7a5240f254e8a948830ffeabdf,"THRIFT-1277 Node.js serializes false booleans as null
Patch: Henrique Mendonca",non_debt,-
skywalking,d44ba6d741adc73adba5628567cbcda1b3553f71,Merge remote-tracking branch 'origin/master',non_debt,-
shardingsphere,4ad4e7c41855a7c9afdb324cf0871a66178a526d,change import for ShardingStatement.java,non_debt,-
hive,2547193894ce6fad9697b69f8eadf2252b488013,"HIVE-9810: Prep object registry for multi threading (Gunther Hagleitner, reviewed by Vikram Dixit K)",non_debt,-
ignite,a73b768a84c8ed689af99aa5fb0bc7ccd87c6b18,Merge remote-tracking branch 'remotes/origin/sprint-23' into gg-8373,non_debt,-
madlib,4907fd3a4f95d38e41c0c2e52bc3befcdcbdbca6,"Matrix: Fix starting index in extract functions
JIRA: MADLIB-1006",code_debt,low_quality_code
netbeans,e743eebf76e27fc23fe2ddc9671b7a915645c8b4,"[NETBEANS-781] Adds Maven coordinates for Ant libs
This is just the first part of a fix for NETBEANS-781.
In the end we will switch to Ant 1.10.4 which is alpha now.",non_debt,-
madlib,059c01112223599f3dadd429832e9de257990bf0,"Preliminary Version of Naive Bayes. (Todo: Translate to Python, Resolve Security Issues/Code Injections)",requirement_debt,requirement_partially_implemented
cxf,7bd158db176ad49a9c8b692a1a9ada85144177a8,"[CXF-2501] Detect where slf4j is logging and try and do the same
Also fix version of slf4j-api jar being picked up",non_debt,-
hive,e9aa220596efc128ea8debfa25e835845ae8d7bb,"HIVE-23235:Checkpointing in repl dump failing for orc format (Aasha Medhi, reviewed by Pravin Kumar Sinha)",non_debt,-
ambari,e6ad58b4c2362d72458466d133f8f4b408609edd,AMBARI-332. Modify nav to easily switch between cluster management and monitoring (Contributed by Yusaku),non_debt,-
guacamole-client,5a6623540f1594fa5c49e851e5fd1265bf2105fe,"GUAC-676: Conversion to Guacamole.Display wasn't finished - ""transfer"" and others still directly used layer.",requirement_debt,requirement_partially_implemented
kafka,4a027a0af10bc10bb223856100fdc19c6186a405,Fix typo in MockProducer JavaDoc (#4606),documentation_debt,low_quality_documentation
camel,d7ba926794b4df826c0fc8c57e4ce5afb72bb0e2,CAMEL-7731: fix typo,documentation_debt,low_quality_documentation
camel,cfb9dea39723c4bcbd2b2a9646626d02ec705760,fixing typo in documentation,documentation_debt,low_quality_documentation
jena,cf2e0b556e796b4819c86fce8dc1854248e1cd80,[maven-release-plugin] prepare release jena-3.7.0-rc2,non_debt,-
usergrid,c18448cd44037cfa3a4e5ab90ebbfe04bdf9596d,"Merge pull request #49 from usergrid/package-rename-only
Package rename only",non_debt,-
trafficcontrol,70dc1b032e7ea19e695251613a74bb2c461b9fc7,This closes #419,non_debt,-
spark,9b214cea896056e7d0a69ae9d3c282e1f027d5b9,"[SPARK-11443] Reserve space lines
The trim_codeblock(lines) function in include_example.rb removes some blank lines in the code.
Closes #9400 from yinxusen/SPARK-11443.",code_debt,low_quality_code
storm,25f8b2af7ac007ca4da304e3e25813a4f0079af4,"STORM-1520 Nimbus Clojure/Zookeeper issue (""stateChanged"" method not found)
* fix a bug which passes wrong type of parameter to ClusterStateListener.stateChanged()
  * we passed ConnectionState from Curator which method needs storm's ConnectionState",non_debt,-
couchdb,a2fd9eb8a0f7fba39248ab84764f5d735bcb83aa,Fix total_rows for _design_docs handler,non_debt,-
trafficcontrol,ce04068823e78607929b9a7049805f4b190dc9a8,added more stringent validation rules around the host and the address,non_debt,-
hbase,4f132dc361de70b065b1885569457849a3266384,HBASE-9008 Reenable TestReplicationKillSlaveRS.killOneSlaveRS,non_debt,-
lucene-solr,21388e0e3720d4e32671a5400bdcd56516ecc4e5,LUCENE-4666: Simplify CompressingStoredFieldsFormat merging.,code_debt,complex_code
activemq-artemis,034adfbf9b0dd217dba6bfdccfdb0488565fc189,ACTIVEMQ6-4 Rename HornetQ* classes to ActiveMQ*,non_debt,-
cassandra,9e6087c0138eb434e3fee769bae2cdc72b863ba5,Merge 3327 from 0.8,non_debt,-
camel,1fa60a51885826d0282bc7e179a5eadd7a5133ca,"CAMEL-16068 - Use HeadBucketRequest to check if a bucket exists or not for consumer too, thanks fyi for the suggestion",non_debt,-
systemds,8dc2cbe96dd92635e097d60d221565ba30a1c7d4,"73744: CSV performance - Improved text serialization mr csv write (output writable, dense/sparse/empty serialize)",code_debt,slow_algorithm
hadoop,8d95784bf1a7fcf473fd5a9fed0140521a92a968,HDFS-4557. Fix FSDirectory#delete when INode#cleanSubtree returns 0.  Contributed by Jing Zhao,non_debt,-
groovy,2f10471ed679f2ae52996e35a66e08ed3a0722e8,Fix the failing tests,non_debt,-
jmeter,bf34a56de0661f63356cefc2d4772abea93834c3,"Bug 43450 - Listeners/Savers assume SampleResult count is always 1
fixed Generate Summary Results",non_debt,-
flink,c298ef1b460b55de34074582d05da8e38987b122,[streaming] streamrecord remake + cleanup,code_debt,low_quality_code
myfaces-tobago,f195c01ac2ddf0c09fdc7c882f2efc0691550ab8,"TOBAGO-1077: Posibility to select text inside of the sheet
- removing the ""mouseup"" listener, because the ""mouseup"" event will be called before the ""click"" event: This results in an undefined mouse position in any case.",non_debt,-
lucene-solr,3541d0f9334ba7457108edd10a07cc67dfd38c88,SOLR-3355: fix bug around null shard / collection in statistics,non_debt,-
cassandra,a052dbfe6fe6d513f3898216ee42325e6ca5e8a4,Merge branch 'cassandra-3.X' into trunk,non_debt,-
brooklyn-server,0559ff08919ad09ca2333fd6f6cf3c9ddaab8197,Review comment updates.,non_debt,-
brooklyn-server,8df273dacf0e8663be03f8e4f3ca5752bf258ffa,Add app for demonstration of simple JBossClustering (though you'd only know it by checking the log files).  Updated SimpleTomcatApp to work with recent changes.,non_debt,-
cxf,9b2f47356d798bf03c8250ef4c8ec49d34c272e1,[CXF-3330] Escaping literal pluses in URITemplate,non_debt,-
hbase,3f5229c66f93e6e36c36cd6793a0daefcadb55ca,HADOOP-1479 Fix NPE in HStore#get if store file only has keys < passed key.,non_debt,-
flink,fc89abb73c6d51f3a347866422dc987d35fba478,"[FLINK-19720][table-api] Introduce new Providers and parallelism API
This closes #13694",non_debt,-
hbase,1e77dd9f7a651fa71b8f1acc2f59dcd3f8065778,"Revert ""HBASE-12471 Task 4. replace internal ConnectionManager#{delete,get}Connection use with #close, #createConnection (0.98, 0.99)"" ADDENDUM",non_debt,-
brooklyn-server,8b6bbbef0e70d14b617b534f02639f12595f4df9,"add an AbstractTransformingEnricher, to make it easy to write enrichers which combine sensors; and amend type hierarchy for other enrichers, and update ShellUtils",design_debt,non-optimal_design
camel,dd67c384a45b3f57b32a848235cbb17112916f9c,CAMEL-8116: fix truncation logic,non_debt,-
hive,87226010711ff98379aca9870fb5bd9f191cff79,"HIVE-12820: Remove the check if carriage return and new line are used for separator or escape character (Aihua Xu, reviewed by Yongzhi Chen and Chaoyu Tang)",non_debt,-
incubator-mxnet,ce62873ae24299242a9c809fd7b83060a0374163,"Add quantization support for GluonCV (#15754)
* enhance quantization api
* integrate gluoncv solution
* support gluon ssd
* enhance api
* enhance example script
* add wildcard match for exclude layers
* support int8 dtype parameter
* enable dataiter api
* use try method
* add unit test for quantize gluon
* fix lint
* fix lint 2
* fix temporary directory in python2
* fix lint
* fix try import and add todo
* trigger",requirement_debt,requirement_partially_implemented
beam,02f3a5e978b421b1336582a1fc10e04d183f3816,[BEAM-6346] Inspect the docker container state,non_debt,-
fineract,06785331e1dc7d291f3d64755ecbd08535813250,"loan txn, repayment. saving txns mifosx-1015",non_debt,-
brooklyn-server,52fd1d8e4772348c66454982f3e4a40e9b235651,BROOKLYN-193 Add configuration for skipping invalid config values during rebind,non_debt,-
beam,c6549ef1abe9f80f935608568f8e548f003a4a9e,"Convert PipelineOptions to Output Type Pre-validation
Converting to the target class prior to validation ensures that all of
the properties that are required (via the @Validation.Required
annotation) and any other invocations on methods in the target class are
available to the ProxyInvocationHandler before the validation logic is
executed.
----Release Notes----
-------------
MOE_MIGRATED_REVID=97233484",non_debt,-
attic-stratos,8477cff566c51097e31131d9b1891a2ab3213196,adding correct artifact path in samples/applications/single-cartridge/scripts/common/add-network-partition.sh,non_debt,-
camel,24323aa94b56468d56f9cdc3f363983666cd7d0e,"Make sure node is deleted at end of test so other test doesn't fail if
run after it.",non_debt,-
hive,d2e53a4108693f25ba0613d6328e5eccdc25de22,HIVE-3101. Drop table rollback hook always called. (Ransom Hezhiqiang via egc),non_debt,-
cloudstack,e256285b05b0c8d5b326724513e57be2c374b336,Generate alerts_types.xml document along with other xml docs.,non_debt,-
cxf,4cc00eec7b6f4a78dcb31d5a644245f9f42ef8a1,added comments clarifying the use of the attributes,non_debt,-
couchdb,85360855a777d5b7fbcc8342e43ae006a57b84eb,Remove dead _all_docs code,code_debt,dead_code
spark,d8830c5039d9c7c5ef03631904c32873ab558e22,"[SPARK-19859][SS] The new watermark should override the old one
## What changes were proposed in this pull request?
The new watermark should override the old one. Otherwise, we just pick up the first column which has a watermark, it may be unexpected.
## How was this patch tested?
The new test.
Closes #17199 from zsxwing/SPARK-19859.",non_debt,-
incubator-weex,d3f756075108eb836c004f7ec7bba74935da173d,"Revert ""[iOS] Update iOS error code. (#2522)"" (#2532)
This reverts commit 223d05f31890cdf3d55ee5fcf62559667bcec26d.",non_debt,-
ignite,da36a72df408de3bdd77dd877121ea0f569ebb38,# IGNITE-45 - Examples,non_debt,-
camel,4e83d8b376808006eeab013f679eabdd1b27291a,camel-sap-netweaver component. Work in progress.,requirement_debt,requirement_partially_implemented
shardingsphere,177b501304370dcfd63edfcf5918aa96eb15b012,Fixed #274.,non_debt,-
cloudstack,c1d34369aa44e06be5909b823d73063f34be0f86,"Revert ""CLOUDSTACK-5674: Few fixes""
This reverts commit e6b93b0a6824a3f2845fb42596c04b348ae147e2.",non_debt,-
cxf,644d60e6794f363bb630ea6b413fcbaebdd32109,Put file that is apparently referenced from some spring configs back,non_debt,-
jmeter,f741a79d6c8f59e95784ccbd48889fdd97bb6c24,replace bugzilla by bug,non_debt,-
ignite,d88992f518576dc9ff3742ad55aca8000c7cc9ce,ignite-341 - tests 3,non_debt,-
nutch,410b967367c4efb450515d10ba10ff2d9afaae3b,Adjust message,non_debt,-
ignite,457dcdbba78bcbd63f50c5f83433c4935651fe17,"IGNITE-3549: IGFS: Switched ""accessTime"" and ""modification"" time in setTimes() method. This closes #1830.",non_debt,-
ignite,b81d3c626ea7e9eff3df14ed732901fc79046e1f,# GG-8491 - Client task execution,non_debt,-
samza,64da867b27ef810a0cc7cc55b13934e6b6708c95,SAMZA-287: Expose config via AM REST interface,non_debt,-
hawq,6dee3cccf00290dfa977027798ce810948cacdce,HAWQ-1214. Remove resource_parameters,non_debt,-
cassandra,92182bcc23ddb51d758aed9df97f27644cd777c6,build.xml first test commit,non_debt,-
activemq,ba3e913daf379995d5afa0c964835fb2037ae0e5,tidied up detection of stale subscriptions across a network,non_debt,-
kafka,75c78e9692a479e2c94dbd08e564f64faedd2071,"KAFKA-5668; fetch across stores in CompositeReadOnlyWindowStore & CompositeReadOnlySessionStore
Fix range queries in `CompositeReadOnlyWindowStore` and `CompositeReadOnlySessionStore` to fetch across all stores (was previously just looking in the first store)
Closes #3685 from dguy/kafka-5668",non_debt,-
flink,939e3fc40fbdb05f2a564c241eb2c791e869f2d3,"[FLINK-2062] [core] Fix names of memory size config parameter
This still evaluates the old parameter, if the old one is set and the new one is not set.
This closes #703",non_debt,-
ambari,87fa076ec017636a19ad209349c38708535f64f2,"Revert ""AMBARI-19338 AM sizing for LLAP - min container size changes (dsen)""
This reverts commit d256e82e628a6ba86acd17a21c2b925a7b3ae9c5.",non_debt,-
pulsar,cb93f6c97135e196232fe4396c29d869b64308de,Bumped version to 1.22.0-incubating-SNAPSHOT (#925),non_debt,-
trafficserver,840f4b8412d3ac55d47e5f1b3a5836e37810a730,Scalar: add generic rounding.,non_debt,-
hive,8ed31c0665afe1e68a854fea2431ffe9a90c492c,HIVE-3253 : ArrayIndexOutOfBounds exception for deeply nested structs (Thejas Nair via Ashutosh Chauhan),non_debt,-
cxf,3c02154ecfb1d431aba742a100b1a9424375b1b0,"[CXF-3790, CXF-3789] Remove some no-op crufty code
Patches from Gary Gregory applied",non_debt,-
cxf,318501bf351df22e3cdde6fc58f4c67d4e8ab3d2,Adding some more SAML SSO tests,test_debt,lack_of_tests
reef,402d8b7f36b5ef0e57821a1a2bc636d821307725,add tests for isInjectable(),non_debt,-
tomee,971d5c9bdc5a0d196c836498dc15adcb439add62,TOMEE-1855 default shouldnt skip injections in all web components,non_debt,-
arrow,92433c8ad3d38aa54f682e4abbdf20ac2cb8a281,"ARROW-3882: [Rust] Cast Kernel for most types
This is an implementation of a cast kernel for most Arrow types.
Limitations (when PR is complete):
* Casting to or from `StructArray` not supported
* Casting `ListArray` to non-list array not supported
* Casting of incompatible primitive types not supported (e.g. temporal to boolean)
Closes #3797 from nevi-me/ARROW-3882 and squashes the following commits:
67c3ab3 <Wakahisa> Merge branch 'master' into ARROW-3882
0f42cd1 <Neville Dipale> replace cast macros with generic functions
66acfb3 <Neville Dipale> move cast_kernels > kernels/cast
9784313 <Neville Dipale> fix doc comment
04c7307 <Neville Dipale> boolean casts, documentation, error handling
4a8906b <Neville Dipale> cast binary -> numeric
c3b8961 <Neville Dipale> use arrow cast in datafusion
ae9509c <Neville Dipale> ARROW-3882:  Cast Kernel for most types",requirement_debt,requirement_partially_implemented
cassandra,5c59d5af751058ed86b63db05d5a17c48f4dfa41,Merge branch 'cassandra-2.1' into cassandra-2.2,non_debt,-
cassandra,ae5722c2379614e4657088cfef38e7bec521c211,merge from 0.8,non_debt,-
karaf,012e8fb393ecd48349ff7d1af944eceb187180cb,[KARAF-4087] Upgrade to Aries Subsystem 2.0.4,non_debt,-
karaf,76297909c6d5f3e5cc8637ff8a7bc25c52bf84ac,[KARAF-1649] Upgrade to JPA final,non_debt,-
beam,695bb2343a3c1e034579d1b5ed72261e67af73c7,Add tests in KafkaSourceTest,non_debt,-
shardingsphere,6f5204ac19d89930d305232129c4294859b3fb15,add shardingProperties,non_debt,-
flink,08e550c98674738ab883ea84c0350093c9765ab6,"[FLINK-8234][flip6] Cache JobExecutionResult in Dispatcher
- Introduce new JobExecutionResult used by JobMaster to forward the information in
  the already existing JobExecutionResult.
- Always cache a JobExecutionResult. Even in case of job failures. In case of
  job failures, the serialized exception is stored additionally.
- Introduce new methods to RestfulGateway to allow retrieval of cached
  JobExecutionResults
[FLINK-8234][flip6] Rename JobExecutionResult -> JobResult
[FLINK-8234][flip6] Update MiniClusterJobDispatcher
Do not store job failure exception in a separate field because the JobResult
already contains the exception.
[FLINK-8234][flip6] Make JobResult Serializable
[FLINK-8234][flip6] Add Javadoc to JobResult builder
[FLINK-8234][flip6] Add Javadoc to JobResult#serializedThrowable
[FLINK-8234][flip6] Wrap JobResults in SoftReferences
Wrap instances of JobResult stored in JobExecutionResultCache in SoftReferences
so that the GC can free them according to memory demand.
[FLINK-8234][flip6] Fix checkstyle violations
[FLINK-8234][flip6] Add Javadoc to JobResult
This closes #5184.",non_debt,-
couchdb,5571420af8016b8076046ee6396367d33b10df42,"Allow reduce=false parameter in map-only views.
Patch by Jason Smith.
Closes COUCHDB-881.",non_debt,-
ignite,bcb139822afa148a7ea3fbb3eecc274f308070f6,IGNITE-4717 VisorClearTask minor fix.,non_debt,-
druid,87b96fb1fd5dd8a33211dbb51fd35f0c908cb8dc,"Add checkstyle rules about imports and empty lines between members (#6543)
* Add checkstyle rules about imports and empty lines between members
* Add suppressions
* Update Eclipse import order
* Add empty line
* Fix StatsDEmitter",non_debt,-
pulsar,e34b595ba3e44314edace5afa3cc8b1267f73b65,Fixed pulsar-spark pom version (#330),non_debt,-
cloudstack,03d1f40c9a52829bc3337b5ab33d54498f12d36d,Dashboard IE8 fixes,non_debt,-
karaf,5baec14d205b0aea0506eefc640fec62594a5ff4,[KARAF-6956] Upgrade to Spring 5.2.9.RELEASE_2,non_debt,-
beam,25aa70cece5af224971d37dda20c3d1271fac9f3,CoGroup transforms for schemas.,non_debt,-
camel,54eb007491087f8ff0739556a8e171a68da8a085,Polished,code_debt,low_quality_code
beam,631294959106cb71a987281298b34d2c265726f4,Use str.join,non_debt,-
druid,cfb7a893e7892bfefb6b22fba4d575f0aaa012e6,"fill out missing test coverage for druid-datasketches postaggs (#9730)
* fill out missing test coverage for druid-datasketches postaggs
* fixup
* fixup merge
* oops
* oops again",test_debt,low_coverage
beam,d04ffaca2b70d3c67b337cf69a9adbc95a7910ed,[BEAM-9857] Update Spark runner page to include Docker job server,non_debt,-
lucene-solr,979b89ce0fbbd30c34e742dbeef1554858d0bdd5,"mark test slow for now, can take nearly a minute",test_debt,expensive_tests
kylin,9b95f0ffb76b9b3993a81ead44ad86314af3b4da,KYLIN-1234 enable ACL check on query,non_debt,-
hadoop,fea50c5440d83225958c5e346299334559fc37a4,HADOOP-13042. Restore lost leveldbjni LICENSE and NOTICE changes.,non_debt,-
karaf,04f96c2598fea31fe67e93b20cf7b6fafe886316,[KARAF-3709] The assembly builder should generate mvn urls for startup bundles,non_debt,-
